arf_02485_00047151674	Hace 12 grados con sol
arf_02485_00146903919	Hace 13 grados con sol
arf_02485_00204623004	Hace 12 grados y está nublado
arf_02485_00285128590	Hace 15 grados y está nublado
arf_02485_00311807531	Hace 14 grados y está nublado
arf_02485_00451422931	Hace 15 grados con sol
arf_02485_00503701432	Hace 14 grados y está nublado
arf_02485_00638594429	Hace 11 grados con sol
arf_02485_00786613174	Hace 11 grados y llueve
arf_02485_00835043311	Hace 13 grados y está nublado
arf_02485_00876298746	Hace 12 grados y llueve
arf_02485_00945557725	Hace 14 grados y llueve
arf_02485_00992763516	Hace 15 grados y llueve
arf_02485_01007684029	Hace 14 grados y llueve
arf_02485_01021527828	Hace 13 grados con sol
arf_02485_01070870595	Hace 12 grados y está nublado
arf_02485_01161148461	Hace 11 grados y está nublado
arf_02485_01242351300	Hace 12 grados y llueve
arf_02485_01411267058	Hace 12 grados con sol
arf_02485_01632826888	Hace 13 grados y llueve
arf_02485_01656499668	Hace 11 grados y llueve
arf_02485_01749853945	Hace 15 grados y está nublado
arf_02485_01762658127	Hace 15 grados con sol
arf_02485_01881540724	Hace 15 grados y llueve
arf_02485_01916222285	Hace 13 grados y está nublado
arf_02485_01919065858	Hace 11 grados con sol
arf_02485_01942376957	Hace 13 grados y llueve
arf_02485_01952759745	Hace 11 grados y está nublado
arf_02485_02016233803	Hace 14 grados con sol
arf_02485_02085981345	Hace 14 grados con sol
arf_03398_00075905242	Hace 19 grados y llueve
arf_03398_00170996870	Hace 19 grados y llueve
arf_03398_00173369595	Hace 17 grados y está nublado
arf_03398_00323386635	Hace 11 grados con sol
arf_03398_00534521883	Hace 17 grados y llueve
arf_03398_00537783447	Hace 18 grados y llueve
arf_03398_00577727210	Hace 18 grados con sol
arf_03398_00686740744	Hace 19 grados y está nublado
arf_03398_00695379889	Hace 11 grados y está nublado
arf_03398_00702367484	Hace 16 grados con sol
arf_03398_00710666834	Hace 16 grados y está nublado
arf_03398_00768485382	Hace 16 grados y llueve
arf_03398_00794224533	Hace 19 grados con sol
arf_03398_00857559538	Hace 19 grados y está nublado
arf_03398_01048307936	Hace 17 grados y está nublado
arf_03398_01063006592	Hace 19 grados con sol
arf_03398_01071048010	Hace 18 grados y está nublado
arf_03398_01238214947	Hace 11 grados y llueve
arf_03398_01280375733	Hace 11 grados con sol
arf_03398_01301942821	Hace 11 grados y está nublado
arf_03398_01596421591	Hace 17 grados y llueve
arf_03398_01642790952	Hace 18 grados y está nublado
arf_03398_01690961333	Hace 16 grados y está nublado
arf_03398_01736798627	Hace 11 grados y llueve
arf_03398_01748216819	Hace 16 grados con sol
arf_03398_01834363188	Hace 18 grados con sol
arf_03398_01877178859	Hace 18 grados y llueve
arf_03398_01921010081	Hace 17 grados con sol
arf_03398_01953842995	Hace 16 grados y llueve
arf_03398_01976801691	Hace 17 grados con sol
arf_04311_00175446489	Hace 22 grados y llueve
arf_04311_00363000495	Hace 11 grados y está nublado
arf_04311_00443651638	Hace 21 grados con sol
arf_04311_00771997542	Hace 21 grados y llueve
arf_04311_00843426047	Hace 23 grados y está nublado
arf_04311_00856454359	Hace 11 grados con sol
arf_04311_00912310956	Hace 22 grados y llueve
arf_04311_00929031830	Hace 11 grados y llueve
arf_04311_00936178542	Hace 22 grados y está nublado
arf_04311_01019463014	Hace 23 grados con sol
arf_04311_01132759390	Hace 20 grados y llueve
arf_04311_01175402662	Hace 21 grados y está nublado
arf_04311_01377532859	Hace 23 grados y llueve
arf_04311_01381679842	Hace 23 grados y está nublado
arf_04311_01438246731	Hace 11 grados y llueve
arf_04311_01627140434	Hace 20 grados y está nublado
arf_04311_01682923126	Hace 22 grados con sol
arf_04311_01760271939	Hace 22 grados y está nublado
arf_04311_01769657162	Hace 22 grados con sol
arf_04311_01778239291	Hace 23 grados con sol
arf_04311_01837907848	Hace 21 grados y llueve
arf_04311_01888468345	Hace 11 grados con sol
arf_04311_01913190402	Hace 21 grados y está nublado
arf_04311_01943619652	Hace 20 grados con sol
arf_04311_01952156847	Hace 21 grados con sol
arf_04311_01957487108	Hace 20 grados con sol
arf_04311_02039728986	Hace 23 grados y llueve
arf_04311_02063848486	Hace 20 grados y está nublado
arf_04311_02076704171	Hace 20 grados y llueve
arf_04311_02131066077	Hace 11 grados y está nublado
