esw_03397_00872842342	Hay 17 grados con sol
esw_02484_00816975340	Hay 14 grados y está nublado
esw_02484_00327933988	Hay 15 grados y llueve
esw_03397_01885457045	Hay 19 grados y está nublado
esw_03397_00229734471	Hay 17 grados y está nublado
esw_03397_00299673157	Hay 18 grados y está nublado
esw_02484_00980298997	Hay 15 grados y está nublado
esw_04310_00658285340	Hay 21 grados con sol
esw_02484_02076258469	Hay 15 grados con sol
esw_04310_01362861525	Hay 11 grados con sol
esw_04310_01360239499	Hay 21 grados y está nublado
esw_04310_00928228474	Hay 20 grados y está nublado
esw_04310_00887332765	Hay 20 grados con sol
esw_02484_01501733833	Hay 11 grados con sol
esw_02484_00210903892	Hay 11 grados y está nublado
esw_04310_00459417018	Hay 21 grados y llueve
esw_04310_01012814992	Hay 23 grados y está nublado
esw_04310_00028738084	Hay 11 grados y está nublado
esw_02484_00973215770	Hay 11 grados y llueve
esw_04310_00422856206	Hay 22 grados y llueve
esw_03397_00254676062	Hay 11 grados y llueve
esw_03397_01258613537	Hay 11 grados con sol
esw_02484_00254728208	Hay 15 grados y está nublado
esw_04310_01374534794	Hay 21 grados con sol
esw_02484_00303068919	Hay 11 grados y llueve
esw_04310_00422393666	Hay 22 grados con sol
esw_03397_00509276658	Hay 18 grados y llueve
esw_04310_00393829615	Hay 20 grados y llueve
esw_02484_01810744075	Hay 15 grados y llueve
esw_04310_02082275287	Hay 20 grados y llueve
esw_02484_00739061004	Hay 14 grados con sol
esw_02484_00242782861	Hay 11 grados y está nublado
esw_02484_00706284941	Hay 14 grados con sol
esw_03397_01327898090	Hay 11 grados y está nublado
esw_04310_01709858293	Hay 22 grados y llueve
esw_04310_01968711965	Hay 22 grados y está nublado
esw_02484_01227277928	Hay 12 grados con sol
esw_02484_01506793834	Hay 13 grados y está nublado
esw_04310_01095027768	Hay 20 grados y está nublado
esw_03397_00126028202	Hay 16 grados con sol
esw_04310_01248185875	Hay 11 grados con sol
esw_04310_01985312956	Hay 23 grados y llueve
esw_03397_00632561990	Hay 19 grados con sol
esw_03397_01508429320	Hay 18 grados y llueve
esw_04310_00587643549	Hay 11 grados y está nublado
esw_02484_01551545582	Hay 12 grados con sol
esw_02484_01923908187	Hay 12 grados y llueve
esw_04310_01379347854	Hay 22 grados y está nublado
esw_03397_01209443553	Hay 11 grados con sol
esw_02484_00564160588	Hay 13 grados y llueve
esw_03397_01036812074	Hay 17 grados con sol
esw_03397_01001842089	Hay 18 grados y está nublado
esw_02484_00189775905	Hay 15 grados con sol
esw_02484_01718504654	Hay 11 grados con sol
esw_04310_00552327270	Hay 23 grados con sol
esw_03397_00564434702	Hay 16 grados con sol
esw_04310_02021346227	Hay 20 grados con sol
esw_02484_02035560739	Hay 12 grados y llueve
esw_03397_00285442820	Hay 16 grados y está nublado
esw_04310_02050467478	Hay 11 grados y llueve
esw_04310_00158482097	Hay 23 grados con sol
esw_03397_00212680273	Hay 19 grados y llueve
esw_04310_00884873281	Hay 21 grados y está nublado
esw_02484_01289256881	Hay 13 grados y llueve
esw_02484_00686401881	Hay 13 grados con sol
esw_04310_00621119167	Hay 23 grados y llueve
esw_02484_00122340186	Hay 12 grados y está nublado
esw_03397_01020441111	Hay 11 grados y llueve
esw_03397_01452159553	Hay 18 grados con sol
esw_04310_01097459931	Hay 22 grados con sol
esw_04310_01017354640	Hay 23 grados y está nublado
esw_03397_01456394956	Hay 16 grados y está nublado
esw_03397_01415681039	Hay 17 grados y está nublado
esw_03397_01132724533	Hay 19 grados con sol
esw_02484_00218159645	Hay 12 grados y está nublado
esw_03397_01198833475	Hay 17 grados y llueve
esw_02484_01696325581	Hay 14 grados y llueve
esw_02484_00755553340	Hay 13 grados y está nublado
esw_03397_01044542493	Hay 17 grados y llueve
esw_03397_00302336806	Hay 19 grados y llueve
esw_03397_00726932972	Hay 16 grados y llueve
esw_03397_01289677629	Hay 16 grados y llueve
esw_03397_01118147772	Hay 18 grados con sol
esw_04310_00317290345	Hay 11 grados y llueve
esw_03397_01188737881	Hay 11 grados y está nublado
esw_02484_01735374047	Hay 14 grados y está nublado
esw_04310_01612362375	Hay 21 grados y llueve
esw_02484_01808215374	Hay 14 grados y llueve
esw_03397_01417960131	Hay 19 grados y está nublado
esw_02484_01302348752	Hay 13 grados con sol
